snapshot_date,prev_date,ID,change_type,old_value,new_value,delta
2026-06-05,2026-05-22,0011377,awarded,,2020-10-16,
2026-06-05,2026-05-22,0011378,awarded,,2020-10-16,
2026-06-05,2026-05-22,0011429,awarded,,2019-03-22,
2026-06-05,2026-05-22,0011430,awarded,,2017-07-21,
2026-06-05,2026-05-22,0011431,awarded,,2018-06-22,
2026-06-05,2026-05-22,0011434,awarded,,2022-11-04,
2026-06-05,2026-05-22,0011439,awarded,,2018-12-14,
2026-06-05,2026-05-22,0011443,awarded,,2018-07-20,
2026-06-05,2026-05-22,0011584,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011600,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011611,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011612,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011613,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011614,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011615,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011616,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011617,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011618,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011619,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011620,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011621,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011622,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011623,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011624,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011625,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011626,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011627,awarded,,2019-07-19,
2026-06-05,2026-05-22,0011639,awarded,,2017-08-18,
2026-06-05,2026-05-22,0011640,awarded,,2018-03-16,
2026-06-05,2026-05-22,0011641,awarded,,2018-06-14,
2026-06-05,2026-05-22,0011660,awarded,,2020-09-18,
2026-06-05,2026-05-22,0011677,awarded,,2016-12-16,
2026-06-05,2026-05-22,0011678,awarded,,2019-06-21,
2026-06-05,2026-05-22,0011679,awarded,,2019-06-21,
2026-06-05,2026-05-22,0011680,awarded,,2019-06-21,
2026-06-05,2026-05-22,0011683,awarded,,2019-05-17,
2026-06-05,2026-05-22,0011684,awarded,,2017-12-15,
2026-06-05,2026-05-22,0011685,awarded,,2018-05-18,
2026-06-05,2026-05-22,0011686,awarded,,2018-09-21,
2026-06-05,2026-05-22,0011688,awarded,,2018-09-21,
2026-06-05,2026-05-22,0011690,awarded,,2018-08-17,
2026-06-05,2026-05-22,0011691,awarded,,2018-08-17,
2026-06-05,2026-05-22,0011727,awarded,,2022-09-30,
2026-06-05,2026-05-22,0011727,work_stopped,,2024-07-10,
2026-06-05,2026-05-22,0011730,awarded,,2022-02-04,
2026-06-05,2026-05-22,0011733,awarded,,2021-02-02,
2026-06-05,2026-05-22,0011747,awarded,,2019-11-15,
2026-06-05,2026-05-22,0011833,cost_change,12797497.81,12849633.47,52135.66
2026-06-05,2026-05-22,0011845,awarded,,2023-10-06,
2026-06-05,2026-05-22,0011899,awarded,,2021-01-22,
2026-06-05,2026-05-22,0011900,awarded,,2021-01-22,
2026-06-05,2026-05-22,0011908,awarded,,2019-10-18,
2026-06-05,2026-05-22,0011909,awarded,,2019-10-18,
2026-06-05,2026-05-22,0011910,awarded,,2019-10-18,
2026-06-05,2026-05-22,0012045,awarded,,2021-11-05,
2026-06-05,2026-05-22,0012049,awarded,,2019-04-19,
2026-06-05,2026-05-22,0012050,awarded,,2021-11-05,
2026-06-05,2026-05-22,0012092,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012093,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012094,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012110,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012111,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012112,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012113,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012114,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012115,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012116,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012117,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012120,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012156,awarded,,2020-03-20,
2026-06-05,2026-05-22,0012157,awarded,,2020-03-20,
2026-06-05,2026-05-22,0012158,awarded,,2020-03-20,
2026-06-05,2026-05-22,0012159,awarded,,2020-03-20,
2026-06-05,2026-05-22,0012160,awarded,,2020-03-20,
2026-06-05,2026-05-22,0012170,awarded,,2019-11-22,
2026-06-05,2026-05-22,0012174,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012215,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012225,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012239,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012254,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012255,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012256,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012257,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012258,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012259,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012261,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012262,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012270,awarded,,2021-02-19,
2026-06-05,2026-05-22,0012275,awarded,,2019-11-22,
2026-06-05,2026-05-22,0012283,awarded,,2019-05-17,
2026-06-05,2026-05-22,0012292,awarded,,2019-05-17,
2026-06-05,2026-05-22,0012294,awarded,,2019-05-17,
2026-06-05,2026-05-22,0012297,awarded,,2019-05-17,
2026-06-05,2026-05-22,0012298,awarded,,2019-05-17,
2026-06-05,2026-05-22,0012299,awarded,,2019-05-17,
2026-06-05,2026-05-22,0012313,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012315,awarded,,2021-01-22,
2026-06-05,2026-05-22,0012381,awarded,,2020-03-20,
2026-06-05,2026-05-22,0012383,awarded,,2020-03-20,
2026-06-05,2026-05-22,0012386,awarded,,2020-03-20,
2026-06-05,2026-05-22,0012390,awarded,,2020-03-20,
2026-06-05,2026-05-22,0012392,awarded,,2020-03-20,
2026-06-05,2026-05-22,0012432,awarded,,2022-08-05,
2026-06-05,2026-05-22,0012452,awarded,,2019-11-22,
2026-06-05,2026-05-22,0012453,awarded,,2019-11-22,
2026-06-05,2026-05-22,0012454,awarded,,2019-11-22,
2026-06-05,2026-05-22,0012455,awarded,,2019-11-22,
2026-06-05,2026-05-22,0012456,awarded,,2019-11-22,
2026-06-05,2026-05-22,0012489,awarded,,2018-11-30,
2026-06-05,2026-05-22,0012503,awarded,,2023-03-03,
2026-06-05,2026-05-22,0012503,work_stopped,,2024-09-10,
2026-06-05,2026-05-22,0012504,awarded,,2018-11-30,
2026-06-05,2026-05-22,0012505,awarded,,2023-03-03,
2026-06-05,2026-05-22,0012505,work_stopped,,2024-09-10,
2026-06-05,2026-05-22,0012510,awarded,,2023-03-03,
2026-06-05,2026-05-22,0012510,work_stopped,,2024-09-10,
2026-06-05,2026-05-22,0012525,awarded,,2019-05-17,
2026-06-05,2026-05-22,0012526,awarded,,2019-05-17,
2026-06-05,2026-05-22,0012527,awarded,,2019-05-17,
