ID,URL,Desc_short,Status,Description
0017062,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017062,SR 306 - Culvert Constr,COMPLETED-CONSTRUCTION,This project proposes to replace an existing culvert on SR 306 near Cantrell Cir with a 7' by 8' (2' embedded culvert).  The construction activities will affect near by Chestatee Elementary School.  The road will need to close during construction.  An off site detour is required.
0017063,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017063,US 41/SR 7/32/112 - Signing & Pvmnt Mrkg,COMPLETED-CONSTRUCTION,"This project is located in Ashburn, Turner County Georgia at crossing 723622A on SR112/Washington Ave . The project includes install a new traffic signal pole with dual mast arm in the SW quadrant, replacing the stop line on the west side of the approach, adding a Type 2 arrow in the left lane on near side approaching tracks, replacing advance railroad pavement markings on both approaches, installing ¿Do Not Block¿ Intersection Markings in each lane prior to the tracks and after the tracks, and installing a R8-6 ¿Stop Here on Red¿ signs, and plans shall show a new RR cantilever with LED flashing lights over both lanes approaching the tracks to be installed by Norfolk Southern."
0017064,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017064,Various Locations - Rumble Strips Upgs,COMPLETED-CONSTRUCTION,"142.89 Miles of Rumble Strips along SR53,SR136,SR51,SR400,SR400,SR15,SR211&SR24.
 "
0017065,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017065,Various Locs - Rumble Strips Upgs,COMPLETED-CONSTRUCTION,"149.18 Miles of Rumble Strips project along SR 17,SR 15,SR 328 ,SR 51,SR 184 ,SR 63,SR 72,SR 145 & SR 72.
"
0017066,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017066,Various Locs - Rumble Strips Upgs,COMPLETED-CONSTRUCTION,"96.54 Miles of Rumble Strips project along SR11,SR15, SR105,SR385&SR 384."
0017067,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017067,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"Rumble Strips project along SR 243,SR 29,SR16,SR15,SR24,SR 243&SR 29."
0017068,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017068,Various Locs - Rumble Strips Upgs,COMPLETED-CONSTRUCTION,"127.21 Miles of Rumble Strips project along SR 87,SR 26,SR 257,SR 31,SR29&SR15.
"
0017069,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017069,Various Locs - Rumble Strips Upgs,COMPLETED-CONSTRUCTION,"128.55 Miles of Rumble Strips project along SR121, SR4, SR67, SR121 & SR88."
0017070,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017070,Various Locs - Rumble Strip Upgrades,COMPLETED-CONSTRUCTION,"101.33 Miles of Rumble Strips project along SR10, SR44,Sr121,SR43,SR47 & SR104."
0017071,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017071,Various Locs - Rumble Strip Upgrades,COMPLETED-CONSTRUCTION,65.2 Miles of Rumble Strips project along SR10 & SR24.
