Project_ID,Project_counties,Is_TIA_project,Contractor_name,TPRO_PROJ_COMPLETE_DT,Project_description,TIME_STOPPED_DATE,SUBSTL_WORK_COMPL_DATE,CONSTRUCTION_STATUS_DERIVED,Last_refresh,Project_URL,DISTRICT
122066-,Hall,No,E R SNELL CONTRACTOR INC,,US 129/SR 11 - Bridge Replacement,,1622073600000.0,COMPLETED-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122066-,9
122150-,"Hall , Jackson",No,PITTMAN CONSTRUCTION CO,,SR 11 - Widng & Recon,,1646870400000.0,COMPLETED-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122150-,9
122200-,Union,No,,,SR 11 From SR 515 To CR 236/Gumlog Road,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122200-,9
122600-,Clarke,No,E R SNELL CONTRACTOR,,US 78/SR 10 Loop - Widening,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122600-,10
122730-,Rabun,No,SHEPHERD CONSTRUCTION CO,,SR 15/US 441 From 700' South To The North Carolina State Line,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122730-,9
122750-,Gwinnett,No,,,SR 316 From Riverside Parkway To East Of Walther Blvd,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122750-,13
122750-,Gwinnett,No,,,SR 316 From Riverside Parkway To East Of Walther Blvd,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122750-,9
122760-,Gwinnett,No,,,SR 316 From E Of SR 20 To W Of CR 183/Progress Center Ave,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122760-,9
122770-,Gwinnett,No,,,SR 316 From W Of CR 183/Progress Center Ave To E Of Cedars RD,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122770-,9
122890-,Clarke,No,E R SNELL CONTRACTOR INC,,US 78/SR 10 (Atlanta Hwy) - Intrchg Improv,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122890-,10
210327-,Richmond,No,SUPERIOR CONSTRUCTION CO,,I-20/SR 402 - Db Bridge Replacements,,1735862400000.0,COMPLETED-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=210327-,12
220680-,Richmond,Yes,BEAMS CONTRACTING INC,,SR 4/15Th  - Widening & Reconstr,,1729123200000.0,COMPLETED-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=220680-,12
222120-,Jefferson,Yes,E R SNELL CONTRACTOR INC,,US 1/SR 4 - Widening And Reconstruction,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=222120-,12
222150-,Jefferson,Yes,C AND H PAVING INC,,US 221/US 1/SR 4 - Widneing & Reconstruction,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=222150-,12
222160-,Jefferson,Yes,REEVES CONSTRUCTION CO,,US 1/SR 4 - Widening And Reconstruction,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=222160-,12
222170-,Jefferson,Yes,E R SNELL CONTRACTOR INC,,US 1/SR 4 - Widening And Reconstruction,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=222170-,12
222260-,Wilkes,No,,,SR 17 From Tignall City Limits To Tignall City Limits-Phase III,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=222260-,10
222295-,Jefferson,No,R B BAKER CONSTRUCTION,,SR 88/SR 540 From SR 171 @ Grange To SR 296 SW Of Wrens,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=222295-,12
222410-,"Bleckley , Dodge",Yes,EVERETT DYKES GRASSING CO,,SR 87 - Widening & Recon,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=222410-,8
122900-,Union,No,AIS INFRASTRUCTURE LLC,,US 76/SR 2/SR 515 - Stream Restoration & Widening,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122900-,9
12Y674-,Gwinnett,No,E R SNELL CONTRACTOR,,P'Tree Ind Blvd From Rogers Bridge RD To SO Of Suwanee Ck *Gf,,,UNDER-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=12Y674-,9
